Berufsfelder;;;;;;
1 Verkehr, Logistik, Schutz und Sicherheit;;;;;;
2 Gesundheit, Soziales, Lehre & Erziehung;;;;;;
3 Berufsfeld Kosmetik und Körperpflege;;;;;;
4 Kaufmännische Dienstleistungen, Warenhandel, Vetrieb;;;;;;
5 Hotel und Gastronomie, Lebensmittelherstellung und Verarbeitung ;;;;;;
6 Rohstoffgewinnung, Produktion & Fertigung;;;;;;
7 Naturwissenschaft, Informatik, Technik und Gestaltung;;;;;;
8 Banken & Versicherungen, Unternehmensorganisation, Buchhaltung, Recht & Verwaltung;;;;;;
9 Handwerk, Bau, Architektur, Vermessung & Gebäudetechnik;;;;;;
10 Sonstige Bildungsgänge der Berufskollegs und Weiterbildungen;;;;;;
11 Naturwissenschaft, Informatik, Technik und Gestaltung;;;;;;
12 Banken & Versicherungen, Unternehmensorganisation, Buchhaltung, Recht & Verwaltung;;;;;;
13 Handwerk, Bau, Architektur, Vermessung & Gebäudetechnik;;;;;;
14 Sonstige Bildungsgänge der Berufskollegs und Weiterbildungen;;;;;;
15 Land-, Fort- und Tierwirtschaft sowie Gartenbau;;;;;;
Verkehr, Logistik, Schutz und Sicherheit;;;;;;
Fachkraft für Lagerlogistik;;Beckhoff Automation GmbH;FOR/ 3 Jahre;M1;25/26;
Fachkraft für Lagerlogistik;;Gauselmann AG;HS oder FOR/ 3 Jahre;M1;FO1-1 (M1-Flur 1. Etage);
Fachkraft für Lagerlogistik;;Halfar SYSTEM GmbH;FOR/ 3 Jahre;H1;H0004;
Fachkraft für Lagerlogistik;;Hellmann Worldwide Logistics GmbH& Co.KG;HS/ 3 Jahre;M1-M2;FO1-1 (M1-Flur 1. Etage);
Fachkraft für Lagerlogistik;;Schaeffler Technologies GmbH & Co. KG;FOR/ 3 Jahre;M1;2/5;
Fachkraft für Lagerlogistik;;Studentenwerk Bielefeld -AöR-;HS/ 3 Jahre;H1;H2042;
Fachkraft für Lagerlogistik;;Weroca Kartonagen GmbH & Co.KG;HS- 10/ 3 Jahre;H1;H0006;
Fachkraft für Schutz und Sicherheit;;Besure Sicherheitsdienst GmbH;FOR/ 3 Jahre;M1;Übergang vom M1 zum M2 Gebäude 1. Etage;
Fachlagerist/in;;Gundlach Verpackung GmbH;guter HS/ 2 Jahre;H1;H 0006;
Fachlagerist/in;;OBI GmbH & Co. Deutschland KG, Filiale Bielefeld Nord;HS/ 2 Jahre;H1;Handelswelt, Empore 2. Etage;
Polizeibeamter im gehobenen Polizeivollzugsdienst;;Bundespolizeiakademie Einstellungsberatung Fuldatal;FHR oder AHR/ 3 Jahre;M1;118;
Polizeibeamter im mittleren Polizeivollzugsdienst;;Bundespolizeiakademie Einstellungsberatung Fuldatal;HS mit abgeschlossener Berufsausbildung bzw. FOR/ 2,5 Jahre;M1;118;
Polizeivollzugsbeamtin/-ter;;Polizeipräsidium Bielefeld;FHR oder AHR/ 3 Jahre;M1;119;
